rule,type,coef,support,importance
feature_1 > 1.5 & feature_12 > 0.5 & feature_13 <= 0.5,rule,0.056485112918631876,0.4965909090909091,0.028241899987305887
feature_1 > 1.5 & feature_0 <= 63.5 & feature_13 <= 0.5,rule,0.040809904353766774,0.5386363636363637,0.020343941221697918
feature_2 > 0.5 & feature_0 > 27.5 & feature_4 <= 0.5,rule,0.03060849999439722,0.49886363636363634,0.01530421047170853
feature_8 <= 0.5 & feature_13 <= 0.5,rule,0.02382497212018579,0.6806818181818182,0.011107499442097256
feature_0 <= 25.5 & feature_0 <= 74.5 & feature_13 <= 0.5,rule,0.0180346913957476,0.15227272727272728,0.0064795949157309355
feature_1 > 1.5 & feature_6 > 0.5,rule,0.009975053430082911,0.15568181818181817,0.0036164898363992837
feature_8 <= 0.5 & feature_0 > 31.5,rule,0.0035949017928828784,0.48068181818181815,0.001796108806272201
feature_7 <= 0.5 & feature_13 <= 0.5,rule,0.002393466136294481,0.3386363636363636,0.001132698276005463
feature_0 <= 35.5 & feature_14 <= 0.5,rule,0.001542872677429152,0.42727272727272725,0.0007632320633425356
feature_0 > 25.5 & feature_1 <= 1.5,rule,-0.0025460358168703135,0.3886363636363636,0.001241040709007663
feature_7 > 0.5 & feature_0 <= 34.5,rule,-0.004111621080230148,0.25227272727272726,0.001785746657491527
feature_0 <= 52.5 & feature_0 > 39.5 & feature_4 <= 0.5 & feature_1 <= 1.5,rule,-0.004293785072669309,0.16590909090909092,0.001597283802082978
feature_0 > 38.5 & feature_1 <= 1.5,rule,-0.006900480615259841,0.2534090909090909,0.003001454639733674
feature_0 > 21.5 & feature_8 > 0.5 & feature_9 <= 0.5 & feature_0 > 31.5,rule,-0.011391807592019042,0.21136363636363636,0.004650998252048755
feature_0 > 35.5 & feature_1 <= 1.5,rule,-0.012253518575069403,0.29772727272727273,0.0056030309898294755
feature_0 <= 71.5 & feature_7 > 0.5 & feature_5 <= 0.5,rule,-0.01436437594838083,0.09886363636363636,0.004287462266567028
feature_0 <= 63.0 & feature_0 > 20.5,rule,-0.0183218568076832,0.8977272727272727,0.005551644047485413
feature_4 > 0.5 & feature_1 <= 1.5,rule,-0.01998750415281934,0.048863636363636366,0.004308963860208497
feature_0 <= 57.5 & feature_1 <= 1.5,rule,-0.021416649467605717,0.375,0.01036829083994986
feature_0 > 44.5 & feature_1 <= 1.5,rule,-0.022110837917282133,0.20795454545454545,0.008973553631661944
feature_2 > 0.5 & feature_7 > 0.5 & feature_0 <= 49.5,rule,-0.026995837849114048,0.31022727272727274,0.012487911370752522
feature_7 > 0.5 & feature_8 > 0.5 & feature_0 <= 74.5,rule,-0.030126720401255292,0.2590909090909091,0.013199588922912965
feature_7 > 0.5 & feature_4 > 0.5 & feature_1 <= 1.5,rule,-0.03437200291957266,0.03977272727272727,0.00671714223436863
feature_0 > 30.5 & feature_0 > 29.0 & feature_8 > 0.5,rule,-0.03688692671295224,0.2,0.014754770685180897
feature_0 <= 52.5 & feature_1 <= 1.5 & feature_0 > 45.5,rule,-0.03751158280401272,0.06363636363636363,0.009156728487826782
feature_8 > 0.5 & feature_1 <= 1.5,rule,-0.03892659117666963,0.13977272727272727,0.013497837559423253
feature_0 <= 59.0 & feature_1 <= 1.5,rule,-0.04523123523215371,0.3875,0.022035725216082123
feature_0 > 39.5 & feature_1 <= 1.5,rule,-0.04596409844920868,0.25227272727272726,0.019962986269564373
feature_8 > 0.5 & feature_1 <= 1.5 & feature_13 <= 0.5,rule,-0.05482114006829041,0.1409090909090909,0.01907379589970918
feature_0 > 23.5 & feature_0 <= 49.5 & feature_1 <= 1.5 & feature_0 > 22.5,rule,-0.059433438206072595,0.30227272727272725,0.02729437703973125
feature_0 <= 37.5 & feature_8 > 0.5 & feature_1 <= 1.5,rule,-0.1028984541044801,0.03409090909090909,0.018672233438875727
