rep,pehe,ate_err,policy_risk
1,0.8947140574455261,0.002333110198378563,0.003821335034444928
2,0.9993297457695007,0.2733137011528015,0.0
3,2.7793564796447754,1.460640549659729,0.02908611297607422
4,1.8284603357315063,0.3620755672454834,0.08764488250017166
5,2.0968129634857178,0.2551409602165222,0.1581592857837677
6,1.1929632425308228,0.6974959969520569,0.014883830212056637
7,2.677588701248169,2.5264995098114014,0.0
8,1.7780259847640991,0.06616786867380142,0.13122709095478058
9,33.762725830078125,21.708459854125977,18.52977180480957
10,3.9768481254577637,0.17955495417118073,0.18673157691955566
11,2.3823015689849854,1.7479439973831177,0.0179432425647974
12,2.09053111076355,0.7317160964012146,0.13145999610424042
13,48.6065559387207,42.08980178833008,19.668235778808594
14,0.86964350938797,0.17647364735603333,0.0
15,2.3353476524353027,0.08204042911529541,0.09391552209854126
16,6.6114397048950195,6.524911403656006,4.418453693389893
17,2.991802453994751,1.5930465459823608,0.06441877037286758
18,2.8471856117248535,1.1131919622421265,0.2349761575460434
19,2.030880928039551,0.7958266139030457,0.14776290953159332
20,1.7405967712402344,1.2852312326431274,0.029765231534838676
21,15.063826560974121,14.432350158691406,5.471088409423828
22,0.8470482230186462,0.4450841248035431,0.03198651224374771
23,2.5200982093811035,0.2582617998123169,0.0738837867975235
24,4.155631065368652,1.5215497016906738,0.154646098613739
25,3.2652571201324463,0.2988695800304413,0.38557058572769165
26,12.35168743133545,5.727200031280518,1.512269377708435
27,1.2835098505020142,0.5275232791900635,0.029943479225039482
28,60.01765823364258,47.948150634765625,17.314739227294922
29,2.0735573768615723,0.9611796140670776,0.11121168732643127
30,3.762873411178589,3.2026069164276123,0.015521901659667492
31,2.623065948486328,0.020718887448310852,0.2727329730987549
32,3.6551995277404785,3.480597496032715,0.7864434123039246
33,2.485259771347046,0.14292335510253906,0.12152983993291855
34,38.63358688354492,28.28939437866211,17.367801666259766
35,10.259400367736816,9.387309074401855,4.3603034019470215
36,14.506570816040039,14.209587097167969,5.970597267150879
37,4.964771747589111,0.19902350008487701,0.16843187808990479
38,2.213970899581909,0.8424695730209351,0.12862922251224518
39,10.357293128967285,8.413431167602539,2.2079830169677734
40,10.766606330871582,10.070411682128906,5.419512748718262
41,5.336164474487305,3.9009807109832764,2.837876796722412
42,0.8471176028251648,0.21558919548988342,0.0
43,5.52219295501709,5.375144958496094,4.6941022872924805
44,6.836886405944824,6.484717845916748,3.81524658203125
45,5.344915390014648,3.945138931274414,1.5959289073944092
46,10.21525764465332,9.973959922790527,5.431546688079834
47,4.336249828338623,0.8742188811302185,0.2791594862937927
48,2.5904314517974854,2.1608824729919434,0.01500043272972107
49,4.313934326171875,3.04498028755188,0.15758243203163147
50,2.406893014907837,1.4759654998779297,0.021018968895077705
51,4.842966079711914,4.404832363128662,3.3089563846588135
52,2.195775270462036,0.3291494846343994,0.10982505977153778
53,8.994089126586914,6.315978527069092,0.9997398257255554
54,4.330377578735352,2.2264983654022217,0.26455652713775635
55,1.1603039503097534,0.050043508410453796,0.06379443407058716
56,4.390849590301514,3.4773409366607666,2.8458666801452637
57,1.517357349395752,0.8888748288154602,0.0
58,6.842880725860596,6.31203031539917,5.0786542892456055
59,1.352437973022461,0.6836819648742676,0.002715823007747531
60,16.42527198791504,14.693737030029297,7.088015079498291
61,0.7992785573005676,0.17601622641086578,0.0
62,1.5899653434753418,0.544812023639679,0.048884470015764236
63,6.934712886810303,6.4050116539001465,4.465404510498047
64,1.3289258480072021,0.3953061103820801,0.013615011237561703
65,4.003995418548584,0.8005119562149048,0.1031569167971611
66,1.3191940784454346,0.17950981855392456,0.09924992173910141
67,0.770660400390625,0.12627167999744415,0.0
68,31.94491958618164,27.776582717895508,14.442005157470703
69,0.9643070697784424,0.20210111141204834,0.026563860476017
70,1.0588713884353638,0.8191013336181641,0.0
71,3.802649974822998,1.6674448251724243,0.05439501628279686
72,3.686598539352417,2.201447010040283,1.598339557647705
73,1.3208643198013306,0.09903781861066818,0.0
74,1.6718261241912842,1.367307424545288,0.0
75,0.5425969362258911,0.2422749400138855,0.0
76,17.997329711914062,16.801742553710938,5.341663360595703
77,1.6640534400939941,1.2691723108291626,0.0
78,1.036246418952942,0.1729034185409546,0.0
79,1.5881198644638062,0.9665866494178772,0.0
80,3.1175663471221924,2.2516348361968994,0.6555452346801758
81,25.933170318603516,19.93294334411621,5.210088729858398
82,11.684556007385254,7.327155113220215,6.531465530395508
83,1.6213459968566895,0.004336090292781591,0.05476885661482811
84,12.314209938049316,7.4038519859313965,3.97092342376709
85,33.8869743347168,26.5899715423584,6.920428276062012
86,21.55222511291504,14.587846755981445,10.392355918884277
87,7.017949104309082,6.63978910446167,4.406986236572266
88,1.7310675382614136,1.1349824666976929,0.0
89,2.0792925357818604,0.08792751282453537,0.15281622111797333
90,2.0220541954040527,0.2054436057806015,0.082174152135849
91,0.5698092579841614,0.16362060606479645,0.0
92,2.2114179134368896,0.9006901979446411,0.27997201681137085
93,31.57351303100586,28.898256301879883,11.88790512084961
94,5.754331111907959,4.673099994659424,3.389101028442383
95,3.738489866256714,2.937629461288452,0.4605509638786316
96,2.5849156379699707,0.6022013425827026,0.31900668144226074
97,5.433310508728027,5.150781154632568,4.5493879318237305
98,10.540657997131348,1.666839599609375,0.729497492313385
99,11.359264373779297,10.916367530822754,4.640550136566162
100,2.398789644241333,0.6098905801773071,0.3116106688976288
