rep,ate_pred,policy_risk_proxy,propensity_balance,outcome_mse,hte_std
1,0.4885828495025635,0.3860011696815491,0.19540590047836304,0.15829354524612427,0.2959786653518677
2,0.42294734716415405,0.3787297010421753,0.27001720666885376,0.16599833965301514,0.3280903398990631
3,0.43175360560417175,0.39556869864463806,0.2267642617225647,0.16628752648830414,0.30115872621536255
4,0.35495656728744507,0.39013585448265076,0.3266575336456299,0.1609039604663849,0.3097069263458252
5,0.434650719165802,0.3860011696815491,0.21443617343902588,0.16563360393047333,0.2514099180698395
6,0.3900107443332672,0.3898405134677887,0.3036901354789734,0.16218450665473938,0.32476186752319336
7,0.48713165521621704,0.39734122157096863,0.16389453411102295,0.16819745302200317,0.34920209646224976
8,0.49547237157821655,0.38452452421188354,0.16390597820281982,0.16675159335136414,0.29618754982948303
9,0.48471158742904663,0.4069698750972748,0.18294179439544678,0.16685299575328827,0.3832162916660309
10,0.5026915073394775,0.39751920104026794,0.19420742988586426,0.16404248774051666,0.3366048038005829
11,0.3339065611362457,0.39840519428253174,0.3487098813056946,0.17031918466091156,0.2732437252998352
12,0.49836546182632446,0.4067946970462799,0.1455756425857544,0.16067975759506226,0.28241848945617676
13,0.4282853305339813,0.4044313132762909,0.19418787956237793,0.1645127683877945,0.2723148763179779
14,0.3408906161785126,0.38954517245292664,0.3200896978378296,0.1630936563014984,0.32466354966163635
15,0.4917621612548828,0.39840519428253174,0.11441075801849365,0.16841213405132294,0.26128628849983215
16,0.46348434686660767,0.39350074529647827,0.1731957197189331,0.1666395664215088,0.2831113636493683
17,0.33443593978881836,0.3905465304851532,0.33276820182800293,0.16623564064502716,0.32827168703079224
18,0.4116895794868469,0.3936798572540283,0.17717766761779785,0.16935421526432037,0.24253666400909424
19,0.388578325510025,0.3914327919483185,0.2017056941986084,0.16118091344833374,0.33376839756965637
20,0.3614390790462494,0.4066745340824127,0.2836151719093323,0.16804027557373047,0.2889714241027832
21,0.48806747794151306,0.3929098844528198,0.1353195309638977,0.16596479713916779,0.30310142040252686
22,0.4834974408149719,0.3875923156738281,0.16949158906936646,0.1634819209575653,0.3444763422012329
23,0.5287477374076843,0.3949778378009796,0.15667706727981567,0.1676248013973236,0.288461834192276
24,0.4293104112148285,0.404311865568161,0.1858304738998413,0.16869543492794037,0.3532344698905945
25,0.15520811080932617,0.38541051745414734,0.4940085709095001,0.1588566154241562,0.2153473049402237
26,0.47786858677864075,0.39338451623916626,0.12650322914123535,0.16101409494876862,0.2727316617965698
27,0.4792250394821167,0.38257017731666565,0.13413280248641968,0.16325142979621887,0.27424049377441406
28,0.4340929090976715,0.38924986124038696,0.20965254306793213,0.15860870480537415,0.2717021405696869
29,0.44512394070625305,0.4004725217819214,0.18341821432113647,0.16668462753295898,0.22966665029525757
30,0.4593532085418701,0.3905465304851532,0.18810737133026123,0.16203568875789642,0.2957989275455475
31,0.27405717968940735,0.38050222396850586,0.3759407103061676,0.16299308836460114,0.29600536823272705
32,0.4388056695461273,0.38670605421066284,0.18112558126449585,0.15664401650428772,0.3083389401435852
33,0.44261446595191956,0.39161252975463867,0.18556880950927734,0.16196416318416595,0.31648534536361694
34,0.38695064187049866,0.3927938640117645,0.25319552421569824,0.16563229262828827,0.3013330101966858
35,0.3998633325099945,0.3893648386001587,0.2919318675994873,0.1595214158296585,0.36303889751434326
36,0.5076566934585571,0.3872968852519989,0.11438626050949097,0.16032202541828156,0.24432706832885742
37,0.3302842080593109,0.4112260043621063,0.3037397265434265,0.1658201366662979,0.25859183073043823
38,0.4641571342945099,0.40590840578079224,0.14457768201828003,0.164635568857193,0.29332128167152405
39,0.3312639892101288,0.3852289617061615,0.34233397245407104,0.16229455173015594,0.2865181863307953
40,0.3775355815887451,0.4001772105693817,0.2912670969963074,0.16141356527805328,0.3079479932785034
41,0.3870598077774048,0.3880685269832611,0.2816879153251648,0.16784928739070892,0.29554101824760437
42,0.4497458338737488,0.40076786279678345,0.2242562174797058,0.16483533382415771,0.3291809558868408
43,0.45436200499534607,0.3828655779361725,0.23355531692504883,0.1628560721874237,0.32863038778305054
44,0.5068244934082031,0.3927938640117645,0.13742971420288086,0.16157446801662445,0.29860934615135193
45,0.27997446060180664,0.4026587903499603,0.3454570174217224,0.1695423573255539,0.2585723400115967
46,0.37583816051483154,0.38924986124038696,0.28366565704345703,0.16362611949443817,0.31475427746772766
47,0.38170817494392395,0.40135854482650757,0.19764071702957153,0.16316616535186768,0.2839546501636505
48,0.4882236421108246,0.39604252576828003,0.1255142092704773,0.16428621113300323,0.2681657373905182
49,0.14691421389579773,0.4023633599281311,0.5366487503051758,0.16340208053588867,0.29570943117141724
50,0.33076757192611694,0.38345643877983093,0.31347864866256714,0.1604551374912262,0.33986470103263855
